player_level	100

id	perk	accuracy (flat)	accuracy (percent)	ailment_damage (flat)	ailment_damage (more)	all_chaos_damage (flat)	all_elemental_damage (flat)	all_elemental_damage (more)	all_fire_damage (flat)	all_lightning_damage (flat)	all_lightning_damage (more)	all_non_fire_damage (more)	all_non_lightning_damage (more)	all_non_water_damage (more)	all_physical_damage (flat)	all_water_damage (flat)	all_water_damage (more)	armor (more)	armor (percent)	armor_penetration (percent)	attack_cast_speed (flat)	attack_damage (flat)	attack_speed (flat)	aura_effect (flat)	axe_damage (flat)	basic_attack_dmg (more)	bleed_chance (flat)	bleed_damage (flat)	bleed_duration (flat)	block_chance (flat)	block_chance (more)	block_chance (percent)	block_damage_reduction (flat)	block_recovery (flat)	blood_user (flat)	bow_damage (flat)	brutality_on_basic_hit (flat)	burn_chance (flat)	burn_chance (more)	burn_damage (flat)	burn_damage (more)	burn_duration (flat)	burn_resistance (flat)	cast_speed (flat)	cdr (flat)	chaining_spell_dmg (flat)	channel_speed (flat)	channel_speed (more)	chaos_doesnt_bypass_magic_shield (flat)	chaos_dot_damage (flat)	chaos_penetration (flat)	charge_recovery_rate (flat)	combat_talent_melee_hit (flat)	combat_talent_ranged_hit (flat)	critical_damage (flat)	critical_damage (more)	critical_hit (flat)	critical_hit (more)	critical_hit (percent)	crossbow_damage (flat)	curse_eff_dur_u_cast (flat)	dagger_damage (flat)	damage_to_cursed (more)	dex_dmg (flat)	dexterity (flat)	dmg_received (flat)	dmg_reduction_chance (flat)	dmg_when_low_hp (more)	dmg_when_target_near_full_hp (more)	dodge (more)	dodge (percent)	dot_dmg (flat)	dot_dmg (more)	dot_lifesteal (flat)	dual_wield_damage (flat)	dual_wield_effectiveness (flat)	ele_dmg_received (flat)	ele_equil_cold_on_fire_hit (flat)	ele_equil_fire_on_lightning_hit (flat)	ele_equil_lightning_on_cold_hit (flat)	ele_gauntlet_damage (flat)	ele_greatsword_damage (flat)	ele_hammer_damage (flat)	ele_scythe_damage (flat)	ele_spear_damage (flat)	ele_staff_damage (flat)	electrify_chance (flat)	electrify_damage (flat)	electrify_proc_chance (flat)	electrify_resistance (flat)	elemental_attack_damage (flat)	elemental_resist (flat)	energy (more)	energy (percent)	energy_cost (flat)	energy_on_hit_hit (flat)	energy_regen (flat)	energy_regen (percent)	energysteal (flat)	faster_projectiles (flat)	fire_any_wep_damage (flat)	fire_dmg_received (flat)	fire_dot_damage (flat)	fire_penetration (flat)	fire_resist (flat)	freeze_chance (flat)	freeze_damage (flat)	freeze_proc_chance (flat)	freeze_resistance (flat)	gauntlet_damage (flat)	ghost_shroud_on_dodge (flat)	greatsword_damage (flat)	hammer_damage (flat)	heal_effect_on_self (flat)	health (more)	health (percent)	health_leech_cap (flat)	health_on_hit_hit (flat)	health_regen (flat)	health_regen (more)	health_regen (percent)	inc_aoe (flat)	inc_effect_of_curse_buff_given (flat)	inc_effect_of_positive_buff_given (flat)	inc_effect_of_song_buff_given (flat)	inc_leech (flat)	increase_healing (flat)	increase_healing (more)	int_dmg (flat)	intelligence (flat)	jewel_socket (flat)	knockback_resist (flat)	lifesteal (flat)	lifesteal (more)	lightning_penetration (flat)	magic_shield (more)	magic_shield (percent)	magic_shield_heal (flat)	magic_shield_regen (flat)	magic_shield_regen (more)	magic_shield_regen (percent)	mana (more)	mana (percent)	mana_cost (flat)	mana_on_hit_hit (flat)	mana_regen (flat)	mana_regen (more)	mana_regen (percent)	mana_shield (flat)	manasteal (flat)	max_elemental_resist (flat)	max_fire_resist (flat)	max_golem_summons (flat)	max_totems (flat)	max_undead_summons (flat)	move_speed (flat)	non_crit_damage (flat)	phys_taken_as_fire (flat)	phys_to_chaos (flat)	phys_to_fire (flat)	phys_to_lightning (flat)	phys_to_water (flat)	physical_dot_damage (flat)	physical_resist (flat)	poison_chance (flat)	poison_damage (flat)	poison_duration (flat)	poison_resistance (flat)	projectile_barrage (flat)	projectile_count (flat)	projectile_damage (flat)	projectile_damage (more)	projection_on_dodge (flat)	ranged_spell_dmg (more)	scythe_damage (flat)	song_cast_time (flat)	song_eff_dur_u_cast (flat)	song_spell_dmg (flat)	song_spell_dmg (more)	spear_damage (flat)	spell_chaos_damage (flat)	spell_elemental_damage (flat)	spell_fire_damage (flat)	spell_lifesteal (flat)	spell_lifesteal (more)	spell_lightning_damage (flat)	spell_mssteal (flat)	spell_water_damage (flat)	spirit_cost (flat)	staff_damage (flat)	str_dmg (flat)	strength (flat)	summon_damage (flat)	summon_damage (more)	summon_health (flat)	summon_health (more)	sword_damage (flat)	threat_generated (flat)	total_damage (flat)	total_damage (more)	totem_cast_time (flat)	totem_duration (flat)	totem_spell_dmg (flat)	trap_area_dmg (flat)	trap_spell_dmg (flat)	water_dot_damage (more)	water_penetration (flat)	weapon_skill_spell_dmg (flat)	weapon_skill_spell_dmg (more)
accuracy_percent	Accuracy	=1.0 * (1 + (0.2 * ($B$1 - 1)))	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy_percent_big	Major Accuracy	=3.0 * (1 + (0.2 * ($B$1 - 1)))	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acrobat	Acrobat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0	0	0	-20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ailment_damage	[Ailment](ailment) Damage	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ailment_damage_big	Major Ailment Damage	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all_chaos_damage	Chaos Damage	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all_chaos_damage_big	Major Chaos Damage	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all_elemental_damage	Elemental Damage	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all_elemental_damage_big	Major Elemental Damage	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all_fire_damage	Fire Damage	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
