number	id
1501	staff_damage_big
1672	staff_damage
1676	ele_staff_damage
1973	chaos_penetration_big
1975	all_chaos_damage_big
2017	energy_regen_percent
2023	mana_on_hit
2313	summon_health
2315	summon_capacity
2320	chaos_penetration
2330	all_fire_damage_big
2332	fiery_flame
2337	all_lightning_damage_big
2341	shock_proc_chance_big
2346	crushing_chill
2348	all_water_damage_big
2363	staff_damage
2369	ele_staff_damage
2512	livid_lightning
2528	cdr_big
2658	summon_health
2662	summon_damage
2665	spell_chaos_damage_and_dot
2667	all_chaos_damage
2675	fire_penetration
2679	all_fire_damage_big
2682	lightning_penetration
2688	spell_lightning_damage_and_dot
2691	all_water_damage_big
2695	water_penetration
2706	int
2710	energy_regen_percent
2714	mana_on_hit
2827	inc_aoe_big
2850	fire_dot_damage
2858	phys_to_lightning_big
2866	shatter_proc_chance
2873	cast_speed
2881	int_big
2885	staff_damage
3005	summon_damage
3007	summon_damage
3011	spell_chaos_damage_and_dot
3013	all_chaos_damage
3017	critical_hit
3019	critical_hit_big
3021	all_fire_damage
3026	burn_chance
3029	all_lightning_damage
3033	spell_lightning_damage_and_dot
3036	water_dot_damage
3041	all_water_damage
3051	int
3169	jewel_socket
3173	inc_aoe
3175	inc_aoe
3197	fire_dot_damage
3204	all_lightning_damage
3211	spell_water_damage_and_dot
3220	cdr
3233	summoner
3337	song_duration_big
3340	all_elemental_damage
3358	all_chaos_damage
3363	critical_damage
3365	critical_hit
3368	all_fire_damage
3386	all_water_damage
3389	curse_master
3395	cast_speed
3412	jewel_socket
3421	curse_effect
3523	int
3577	int
3587	cast_speed
3592	curse_effect
3596	curse_duration
3678	burn_damage
3682	song_effect
3686	all_elemental_damage
3703	int
3713	int
3723	int
3733	int
3743	int
3849	burn_damage_big
3853	burn_damage
3857	song_duration
3869	ele_staff_damage
3874	twincast
3919	shatter_proc_chance_big
3921	freeze_damage
3933	cast_speed
3937	curse_effect_big
3942	curse_duration
4017	hammer_damage_big
4040	ele_staff_damage
4044	ele_staff_damage
4051	song_duration
4053	song_cdr
4064	spell_lifesteal
4066	spell_lifesteal
4073	aura_effect
4075	spirit_cost
4087	electrify_chance
4099	trap_cdr_big
4101	trap_damage
4192	armor_penetration_percent
4196	burn_chance
4200	fire_resist
4207	int
4210	elemental_equilibrium
4220	magic_shield_regen_percent
4231	health_percent
4234	mana_percent
4242	int
4252	curse_duration
4254	curse_duration
4265	freeze_damage
4267	freeze_chance
4277	int
4287	curse_effect
4371	burn_chance
4386	ele_staff_damage
4390	ele_staff_damage
4395	magic_shield_percent
4397	song_duration
4399	song_cdr_big
4410	spell_lifesteal_big
4418	aura_effect_big
4422	spirit_cost_big
4431	electrify_chance_big
4433	electrify_damage
4445	trap_damage_big
4456	curse_duration
4458	curse_effect
4534	ele_hammer_damage_big
4539	armor_penetration_percent
4561	ele_staff_damage_big
